NUMT,NUMTRIALS,Probability (%),MegaTrials/sec
1,1,0.00,0.21
Speedup: 2.074855
Parallel Function: 0.690718
1,10,60.00,2.18
Speedup: 2.074855
Parallel Function: 0.690718
1,100,64.00,15.17
Speedup: 2.074855
Parallel Function: 0.690718
1,1000,60.10,43.06
Speedup: 2.074855
Parallel Function: 0.690718
1,10000,57.54,48.79
Speedup: 2.074855
Parallel Function: 0.690718
1,100000,56.92,42.02
Speedup: 2.074855
Parallel Function: 0.690718
1,500000,57.07,46.61
Speedup: 2.074855
Parallel Function: 0.690718
1,1000000,57.08,48.14
Speedup: 2.074855
Parallel Function: 0.690718
2,1,100.00,0.02
Speedup: 2.074855
Parallel Function: 0.690718
2,10,50.00,0.19
Speedup: 2.074855
Parallel Function: 0.690718
2,100,63.00,2.03
Speedup: 2.074855
Parallel Function: 0.690718
2,1000,58.80,17.14
Speedup: 2.074855
Parallel Function: 0.690718
2,10000,56.98,62.47
Speedup: 2.074855
Parallel Function: 0.690718
2,100000,56.83,85.23
Speedup: 2.074855
Parallel Function: 0.690718
2,500000,56.96,99.83
Speedup: 2.074855
Parallel Function: 0.690718
2,1000000,57.01,85.48
Speedup: 2.074855
Parallel Function: 0.690718
4,1,100.00,0.00
Speedup: 2.074855
Parallel Function: 0.690718
4,10,40.00,0.10
Speedup: 2.074855
Parallel Function: 0.690718
4,100,57.00,1.05
Speedup: 2.074855
Parallel Function: 0.690718
4,1000,54.30,9.42
Speedup: 2.074855
Parallel Function: 0.690718
4,10000,56.47,63.78
Speedup: 2.074855
Parallel Function: 0.690718
4,100000,56.98,162.30
Speedup: 2.074855
Parallel Function: 0.690718
4,500000,56.99,178.25
Speedup: 2.074855
Parallel Function: 0.690718
4,1000000,56.98,195.06
Speedup: 2.074855
Parallel Function: 0.690718
6,1,0.00,0.01
Speedup: 2.074855
Parallel Function: 0.690718
6,10,50.00,0.00
Speedup: 2.074855
Parallel Function: 0.690718
6,100,49.00,0.03
Speedup: 2.074855
Parallel Function: 0.690718
6,1000,54.30,0.35
Speedup: 2.074855
Parallel Function: 0.690718
6,10000,57.14,3.40
Speedup: 2.074855
Parallel Function: 0.690718
6,100000,56.84,28.20
Speedup: 2.074855
Parallel Function: 0.690718
6,500000,57.01,265.56
Speedup: 2.074855
Parallel Function: 0.690718
6,1000000,57.02,258.98
Speedup: 2.074855
Parallel Function: 0.690718
8,1,0.00,0.00
Speedup: 2.074855
Parallel Function: 0.690718
8,10,50.00,0.00
Speedup: 2.074855
Parallel Function: 0.690718
8,100,60.00,0.04
Speedup: 2.074855
Parallel Function: 0.690718
8,1000,57.40,0.57
Speedup: 2.074855
Parallel Function: 0.690718
8,10000,56.62,3.39
Speedup: 2.074855
Parallel Function: 0.690718
8,100000,57.10,27.53
Speedup: 2.074855
Parallel Function: 0.690718
8,500000,57.00,94.84
Speedup: 2.074855
Parallel Function: 0.690718
8,1000000,57.04,123.53
Speedup: 2.074855
Parallel Function: 0.690718
